iterations,random,proportional,tournament
512,1045845.571,1030382.75,958442.9556
513,1045845.571,1030382.75,958442.9556
514,1044100.635,1025498.291,957695.4926
515,1044100.635,1025498.291,956454.7342
516,1044100.635,1025498.291,956454.7342
517,1044100.635,1025498.291,952900.9798
518,1040895.637,1025498.291,952900.9798
519,1040895.637,1025498.291,952900.9798
520,1041516.534,1025498.291,949838.7577
521,1041516.534,1025498.291,949838.7577
522,1041516.534,1025498.291,949838.7577
523,1038851.921,1025498.291,949838.7577
524,1038851.921,1025498.291,948513.4325
525,1038851.921,1021998.652,948399.346
526,1038851.921,1021998.652,948399.346
527,1038851.921,1021769.226,946697.5723
528,1038851.921,1021769.226,944834.6165
529,1038851.921,1021769.226,946311.1022
530,1038851.921,1021769.226,946311.1022
531,1038851.921,1021769.226,946168.5345
532,1038851.921,1021769.226,941166.0311
533,1038851.921,1018780.993,941166.0311
534,1038851.921,1021769.226,941166.0311
535,1038851.921,1020155.918,941166.0311
536,1038851.921,1020155.918,941166.0311
537,1038851.921,1019628.526,941166.0311
538,1038851.921,1019628.526,940693.0561
539,1038179.573,1017991.43,940638.162
540,1038179.573,1014905.897,939887.2892
541,1038179.573,1014905.897,939887.2892
542,1038179.573,1014905.897,939654.6026
543,1036937.803,1014905.897,938671.9595
544,1034530.259,1014905.897,935023.6269
545,1034530.259,1014905.897,935023.6269
546,1034254.711,1014905.897,935023.6269
547,1034254.711,1014905.897,934703.7869
548,1034254.711,1014905.897,934703.7869
549,1034254.711,1014905.897,934590.499
550,1034254.711,1014425.846,932111.9457
551,1034254.711,1014425.846,932111.9457
552,1034254.711,1014425.846,932111.9457
553,1031645.886,1012121.724,932111.9457
554,1031224.038,1012121.724,932705.5527
555,1031224.038,1012121.724,930524.9009
556,1031443.943,1009105.256,930524.9009
557,1031443.943,1009105.256,930524.9009
558,1030132.442,1008399.747,929483.9086
559,1030132.442,1008399.747,929483.9086
560,1030132.442,1002194.616,928220.9961
561,1029982.235,1002194.616,927702.4285
562,1029982.235,1002194.616,925733.8239
563,1029982.235,1002194.616,925733.8239
564,1026878.454,1002194.616,923252.5983
565,1029982.235,1002194.616,922971.5545
566,1029510.923,1002194.616,923252.5983
567,1029510.923,1002194.616,923252.5983
568,1028810.721,1002194.616,922407.0118
569,1028810.721,1001729.747,922359.9214
570,1025463.054,1001729.747,920071.0771
571,1025463.054,998934.3325,919158.48
572,1025463.054,998934.3325,918759.0682
573,1024798.436,998934.3325,918759.0682
574,1024798.436,998934.3325,916524.6976
575,1024798.436,998934.3325,916524.6976
576,1024798.436,997537.0979,914744.6204
577,1024798.436,997879.2827,916524.6976
578,1024798.436,998404.8353,915417.1469
579,1024798.436,998404.8353,915417.1469
580,1024798.436,998325.3244,911486.2419
581,1024798.436,998325.3244,911486.2419
582,1021758.858,997101.703,908681.716
583,1021758.858,996214.2173,908681.716
584,1021758.858,995952.9455,908666.9365
585,1018901.796,995952.9455,907048.7954
586,1018901.796,995952.9455,905632.9135
587,1018901.796,995952.9455,905632.9135
588,1021127.732,995224.2519,905632.9135
589,1021127.732,995224.2519,905632.9135
590,1020234.003,995073.2266,905445.7718
591,1020234.003,991381.4456,903711.9468
592,1019382.195,991381.4456,903711.9468
593,1015649.266,991381.4456,903444.2677
594,1015649.266,991381.4456,900057.3635
595,1015649.266,991381.4456,900057.3635
596,1015351.392,991381.4456,900057.3635
597,1015351.392,990874.3819,900057.3635
598,1015351.392,989845.4647,899012.4793
599,1015351.392,989814.8934,899012.4793
600,1013524.585,986157.4117,897412.2041
601,1013524.585,986157.4117,896472.1435
602,1013495.663,986157.4117,896472.1435
603,1013524.585,986190.6559,896472.1435
604,1006527.166,986190.6559,896472.1435
605,1006527.166,986190.6559,896472.1435
606,1006527.166,986190.6559,896472.1435
607,1007326.24,985458.909,895992.4507
